Vardas         Pavarde        Galutinis(Vid.)     
Vardas617      Pavarde617     4.13                
Vardas615      Pavarde615     3.40                
Vardas623      Pavarde623     2.53                
Vardas624      Pavarde624     4.27                
Vardas611      Pavarde611     3.93                
Vardas608      Pavarde608     3.07                
Vardas627      Pavarde627     4.13                
Vardas628      Pavarde628     3.07                
Vardas629      Pavarde629     2.67                
Vardas607      Pavarde607     2.27                
Vardas630      Pavarde630     3.00                
Vardas631      Pavarde631     2.87                
Vardas606      Pavarde606     2.00                
Vardas633      Pavarde633     2.60                
Vardas634      Pavarde634     3.00                
Vardas603      Pavarde603     3.93                
Vardas636      Pavarde636     3.00                
Vardas602      Pavarde602     4.80                
Vardas6        Pavarde6       3.40                
Vardas598      Pavarde598     2.33                
Vardas597      Pavarde597     4.53                
Vardas592      Pavarde592     2.40                
Vardas641      Pavarde641     4.33                
Vardas588      Pavarde588     3.13                
Vardas643      Pavarde643     2.60                
Vardas587      Pavarde587     3.53                
Vardas585      Pavarde585     4.07                
Vardas583      Pavarde583     4.73                
Vardas647      Pavarde647     3.67                
Vardas648      Pavarde648     3.87                
Vardas649      Pavarde649     4.00                
Vardas65       Pavarde65      3.00                
Vardas650      Pavarde650     2.73                
Vardas651      Pavarde651     3.67                
Vardas581      Pavarde581     3.80                
Vardas574      Pavarde574     4.60                
Vardas573      Pavarde573     2.73                
Vardas571      Pavarde571     4.93                
Vardas570      Pavarde570     2.93                
Vardas657      Pavarde657     3.67                
Vardas658      Pavarde658     1.80                
Vardas659      Pavarde659     4.67                
Vardas568      Pavarde568     2.33                
Vardas660      Pavarde660     3.67                
Vardas661      Pavarde661     3.47                
Vardas662      Pavarde662     4.60                
Vardas663      Pavarde663     4.40                
Vardas565      Pavarde565     1.80                
Vardas665      Pavarde665     4.53                
Vardas666      Pavarde666     2.40                
Vardas564      Pavarde564     4.33                
Vardas668      Pavarde668     3.33                
Vardas669      Pavarde669     3.33                
Vardas557      Pavarde557     4.27                
Vardas670      Pavarde670     4.07                
Vardas556      Pavarde556     4.13                
Vardas672      Pavarde672     4.60                
Vardas555      Pavarde555     3.33                
Vardas674      Pavarde674     3.87                
Vardas675      Pavarde675     4.80                
Vardas553      Pavarde553     4.80                
Vardas552      Pavarde552     3.33                
Vardas550      Pavarde550     4.93                
Vardas547      Pavarde547     3.33                
Vardas546      Pavarde546     3.47                
Vardas545      Pavarde545     3.00                
Vardas544      Pavarde544     4.33                
Vardas542      Pavarde542     3.53                
Vardas536      Pavarde536     4.67                
Vardas684      Pavarde684     3.87                
Vardas685      Pavarde685     2.60                
Vardas535      Pavarde535     2.80                
Vardas534      Pavarde534     3.27                
Vardas688      Pavarde688     2.33                
Vardas533      Pavarde533     3.00                
Vardas532      Pavarde532     4.87                
Vardas531      Pavarde531     3.73                
Vardas530      Pavarde530     3.87                
Vardas692      Pavarde692     3.13                
Vardas693      Pavarde693     2.60                
Vardas53       Pavarde53      4.53                
Vardas695      Pavarde695     2.93                
Vardas528      Pavarde528     3.47                
Vardas527      Pavarde527     4.53                
Vardas526      Pavarde526     4.73                
Vardas699      Pavarde699     2.07                
Vardas522      Pavarde522     3.27                
Vardas521      Pavarde521     3.93                
Vardas520      Pavarde520     4.07                
Vardas701      Pavarde701     2.47                
Vardas517      Pavarde517     3.00                
Vardas514      Pavarde514     3.20                
Vardas704      Pavarde704     2.53                
Vardas512      Pavarde512     2.60                
Vardas511      Pavarde511     4.53                
Vardas510      Pavarde510     4.13                
Vardas509      Pavarde509     2.53                
Vardas709      Pavarde709     3.20                
Vardas71       Pavarde71      4.13                
Vardas710      Pavarde710     4.33                
Vardas506      Pavarde506     3.27                
Vardas505      Pavarde505     3.60                
Vardas504      Pavarde504     4.33                
Vardas714      Pavarde714     2.00                
Vardas498      Pavarde498     3.07                
Vardas716      Pavarde716     2.27                
Vardas497      Pavarde497     3.27                
Vardas496      Pavarde496     4.40                
Vardas495      Pavarde495     3.40                
Vardas72       Pavarde72      4.80                
Vardas493      Pavarde493     3.20                
Vardas721      Pavarde721     3.73                
Vardas492      Pavarde492     4.60                
Vardas491      Pavarde491     2.53                
Vardas490      Pavarde490     2.80                
Vardas725      Pavarde725     3.67                
Vardas49       Pavarde49      3.60                
Vardas488      Pavarde488     4.47                
Vardas728      Pavarde728     3.33                
Vardas486      Pavarde486     4.73                
Vardas73       Pavarde73      3.87                
Vardas730      Pavarde730     4.07                
Vardas485      Pavarde485     3.60                
Vardas484      Pavarde484     3.33                
Vardas481      Pavarde481     3.93                
Vardas480      Pavarde480     4.53                
Vardas478      Pavarde478     2.80                
Vardas736      Pavarde736     3.47                
Vardas477      Pavarde477     2.60                
Vardas475      Pavarde475     2.80                
Vardas739      Pavarde739     4.67                
Vardas471      Pavarde471     4.67                
Vardas740      Pavarde740     4.93                
Vardas468      Pavarde468     2.60                
Vardas742      Pavarde742     4.20                
Vardas743      Pavarde743     4.20                
Vardas467      Pavarde467     3.53                
Vardas745      Pavarde745     3.40                
Vardas465      Pavarde465     4.67                
Vardas462      Pavarde462     3.47                
Vardas453      Pavarde453     4.00                
Vardas451      Pavarde451     3.20                
Vardas75       Pavarde75      2.33                
Vardas750      Pavarde750     4.40                
Vardas446      Pavarde446     4.33                
Vardas752      Pavarde752     3.27                
Vardas442      Pavarde442     4.73                
Vardas754      Pavarde754     4.67                
Vardas441      Pavarde441     4.40                
Vardas44       Pavarde44      4.13                
Vardas436      Pavarde436     3.07                
Vardas758      Pavarde758     4.00                
Vardas433      Pavarde433     3.80                
Vardas432      Pavarde432     4.47                
Vardas430      Pavarde430     4.93                
Vardas761      Pavarde761     3.33                
Vardas427      Pavarde427     4.87                
Vardas425      Pavarde425     4.20                
Vardas424      Pavarde424     4.07                
Vardas422      Pavarde422     3.40                
Vardas421      Pavarde421     2.53                
Vardas767      Pavarde767     3.07                
Vardas42       Pavarde42      3.40                
Vardas769      Pavarde769     3.20                
Vardas416      Pavarde416     4.13                
Vardas770      Pavarde770     3.87                
Vardas771      Pavarde771     3.80                
Vardas772      Pavarde772     2.67                
Vardas773      Pavarde773     4.47                
Vardas415      Pavarde415     4.07                
Vardas414      Pavarde414     4.93                
Vardas413      Pavarde413     3.07                
Vardas41       Pavarde41      4.47                
Vardas405      Pavarde405     3.20                
Vardas402      Pavarde402     4.80                
Vardas40       Pavarde40      3.27                
Vardas780      Pavarde780     3.73                
Vardas781      Pavarde781     3.80                
Vardas782      Pavarde782     2.60                
Vardas4        Pavarde4       3.53                
Vardas398      Pavarde398     4.13                
Vardas395      Pavarde395     2.00                
Vardas394      Pavarde394     3.87                
Vardas787      Pavarde787     3.53                
Vardas788      Pavarde788     4.40                
Vardas390      Pavarde390     3.60                
Vardas39       Pavarde39      4.27                
Vardas790      Pavarde790     3.53                
Vardas791      Pavarde791     4.60                
Vardas792      Pavarde792     3.53                
Vardas793      Pavarde793     3.53                
Vardas794      Pavarde794     4.07                
Vardas795      Pavarde795     4.60                
Vardas389      Pavarde389     2.73                
Vardas388      Pavarde388     3.53                
Vardas382      Pavarde382     2.60                
Vardas799      Pavarde799     2.60                
Vardas8        Pavarde8       2.07                
Vardas381      Pavarde381     3.47                
Vardas800      Pavarde800     4.93                
Vardas801      Pavarde801     4.27                
Vardas802      Pavarde802     2.73                
Vardas380      Pavarde380     4.67                
Vardas804      Pavarde804     4.60                
Vardas376      Pavarde376     3.87                
